service,cpu_millicores,memory_mb,replicas,observed_cpu_millicores,msc_rps,violation_reason,total_cpu,cpu_efficiency
geo,100,256,1,56,20,p90_latency,100,0.2
geo,100,256,2,70,50,p90_latency,200,0.25
geo,100,256,3,84,50,p90_latency,300,0.16666666666666666
geo,200,256,1,65,40,p90_latency,200,0.2
geo,200,256,2,95,120,p90_latency,400,0.3
geo,200,256,3,96,180,p90_latency,600,0.3
geo,500,256,1,85,100,p90_latency,500,0.2
geo,500,256,2,150,280,p90_latency,1000,0.28
geo,500,256,3,198,320,p90_latency,1500,0.21333333333333335
rate,100,256,2,97,20,p90_latency,200,0.1
rate,100,256,3,104,40,p90_latency,300,0.13333333333333333
rate,200,256,1,108,40,p90_latency,200,0.2
rate,200,256,2,100,100,p90_latency,400,0.25
rate,200,256,3,118,90,p90_latency,600,0.15
rate,500,256,1,107,60,p90_latency,500,0.12
rate,500,256,2,151,200,p90_latency,1000,0.2
rate,500,256,3,200,230,p90_latency,1500,0.15333333333333332
profile,100,256,1,65,20,success_rate,100,0.2
profile,100,256,2,67,30,p90_latency,200,0.15
profile,100,256,3,93,50,p90_latency,300,0.16666666666666666
profile,200,256,1,64,30,p90_latency,200,0.15
profile,200,256,2,93,80,p90_latency,400,0.2
profile,200,256,3,94,110,p90_latency,600,0.18333333333333332
profile,500,256,1,122,80,p90_latency,500,0.16
profile,500,256,2,169,310,p90_latency,1000,0.31
profile,500,256,3,232,280,p90_latency,1500,0.18666666666666668
recommendation,100,256,1,44,60,p90_latency,100,0.6
recommendation,100,256,2,59,90,p90_latency,200,0.45
recommendation,100,256,3,61,120,p90_latency,300,0.4
recommendation,200,256,1,48,80,p90_latency,200,0.4
recommendation,200,256,2,88,260,p90_latency,400,0.65
recommendation,200,256,3,110,320,p90_latency,600,0.5333333333333333
recommendation,500,256,1,56,180,p90_latency,500,0.36
recommendation,500,256,2,70,230,p90_latency,1000,0.23
recommendation,500,256,3,115,320,p90_latency,1500,0.21333333333333335
user,100,256,1,39,50,p90_latency,100,0.5
user,100,256,2,41,100,p90_latency,200,0.5
user,100,256,3,59,200,p90_latency,300,0.6666666666666666
user,200,256,1,43,120,p90_latency,200,0.6
user,200,256,2,90,250,p90_latency,400,0.625
user,200,256,3,90,270,p90_latency,600,0.45
user,500,256,1,80,250,p90_latency,500,0.5
user,500,256,2,80,230,p90_latency,1000,0.23
user,500,256,3,93,280,p90_latency,1500,0.18666666666666668
reservation,100,256,2,118,30,p90_latency,200,0.15
reservation,100,256,3,89,50,p90_latency,300,0.16666666666666666
reservation,200,256,1,69,30,p90_latency,200,0.15
reservation,200,256,2,89,60,p90_latency,400,0.15
reservation,200,256,3,122,90,p90_latency,600,0.15
reservation,500,256,1,89,80,p90_latency,500,0.16
reservation,500,256,2,219,310,p90_latency,1000,0.31
reservation,500,256,3,219,380,p90_latency,1500,0.25333333333333335
search,100,256,1,72,15,,100,0.15
search,100,256,2,125,15,,200,0.075
search,100,256,3,195,25,,300,0.08333333333333333
search,200,256,1,85,25,,200,0.125
search,200,256,2,115,50,,400,0.125
search,200,256,3,197,145,,600,0.24166666666666667
search,500,256,1,161,85,,500,0.17
search,500,256,2,570,500,,1000,0.5
search,500,256,3,576,500,,1500,0.3333333333333333
